time_min,gRNA1_replicate1_20fM,gRNA2_replicate1_20fM,gRNA3_replicate1_20fM,gRNA4_replicate1_20fM,gRNA5_replicate1_20fM,gRNA6_replicate1_20fM,gRNA1_replicate1_2fM,gRNA2_replicate1_2fM,gRNA3_replicate1_2fM,gRNA4_replicate1_2fM,gRNA5_replicate1_2fM,gRNA6_replicate1_2fM,gRNA1_replicate1_0fM,gRNA2_replicate1_0fM,gRNA3_replicate1_0fM,gRNA4_replicate1_0fM,gRNA5_replicate1_0fM,gRNA6_replicate1_0fM,gRNA1_replicate2_20fM,gRNA2_replicate2_20fM,gRNA3_replicate2_20fM,gRNA4_replicate2_20fM,gRNA5_replicate2_20fM,gRNA6_replicate2_20fM,gRNA1_replicate2_2fM,gRNA2_replicate2_2fM,gRNA3_replicate2_2fM,gRNA4_replicate2_2fM,gRNA5_replicate2_2fM,gRNA6_replicate2_2fM,gRNA1_replicate2_0fM,gRNA2_replicate2_0fM,gRNA3_replicate2_0fM,gRNA4_replicate2_0fM,gRNA5_replicate2_0fM,gRNA6_replicate2_0fM,gRNA1_replicate3_20fM,gRNA2_replicate3_20fM,gRNA3_replicate3_20fM,gRNA4_replicate3_20fM,gRNA5_replicate3_20fM,gRNA6_replicate3_20fM,gRNA1_replicate3_2fM,gRNA2_replicate3_2fM,gRNA3_replicate3_2fM,gRNA4_replicate3_2fM,gRNA5_replicate3_2fM,gRNA6_replicate3_2fM,gRNA1_replicate3_0fM,gRNA2_replicate3_0fM,gRNA3_replicate3_0fM,gRNA4_replicate3_0fM,gRNA5_replicate3_0fM,gRNA6_replicate3_0fM
90,1.496456323,1.402100589,1.374989326,1.371573734,0.149005209,0.812697464,1.351080181,1.221714627,1.130561011,1.364315601,0.126376911,0.879941935,0.119972675,1.211040902,0.077491248,0.126376911,0.10460251,0.238451029,1.401246691,1.420245923,1.351720605,1.325676714,0.154128597,0.979207583,1.405089232,1.122235505,0.204722056,1.352147554,0.096917428,0.753138075,0.111860644,1.228545812,0.072154385,0.109085475,0.108872001,0.244214841,1.368798565,1.331227051,1.381180087,1.383528307,0.140039279,0.998847238,1.368158142,1.170907694,1.306037059,1.345743318,0.112501067,0.221373068,0.114635812,1.257364871,0.074929553,0.001067373,0.107377679,0.219878746
93,1.4958159,1.408718299,1.387797797,1.374135428,0.154128597,0.890188711,1.342541201,1.229613184,1.161514815,1.367731193,0.127657758,0.947613355,0.119972675,1.222995474,0.078772095,0.125523013,0.106310307,0.240585774,1.382674409,1.419605499,1.332934848,1.331440526,0.155836393,1.030014516,1.40402186,1.119887285,0.22905815,1.342541201,0.096490479,0.84514559,0.114208863,1.224489796,0.07428913,0.108872001,0.10929895,0.246776535,1.36239433,1.334856118,1.377977969,1.382460934,0.143027922,1.062462642,1.368798565,1.180300572,1.300486722,1.323328495,0.113781914,0.230552472,0.115703185,1.253308855,0.07663735,0.000853898,0.107804628,0.221373068
96,1.491759884,1.38416873,1.372641107,1.369865938,0.158611562,0.960848775,1.344248997,1.235376996,1.213175647,1.368798565,0.132140722,1.005678422,0.119972675,1.223208949,0.079412518,0.127657758,0.105669883,0.243360943,1.389078644,1.412774315,1.346170267,1.333575271,0.161173256,1.066732132,1.396977201,1.125010674,0.258944582,1.343181624,0.097130903,0.912390061,0.114849287,1.223635898,0.07428913,0.109085475,0.10929895,0.247843907,1.362180856,1.325036291,1.390146017,1.388651695,0.148791734,1.116471693,1.370506362,1.185850909,1.300059773,1.328878832,0.114849287,0.242933994,0.114849287,1.250106737,0.077064299,0.001067373,0.109512424,0.221800017
99,1.49111946,1.399111946,1.373495005,1.372854581,0.16373495,1.022542908,1.346810691,1.249679788,1.237511741,1.377764495,0.136196738,1.046879003,0.121040048,1.218939459,0.080266416,0.12680386,0.107164205,0.244855264,1.388865169,1.417470754,1.343608573,1.33635044,0.16608317,1.093843395,1.394202032,1.13760567,0.291179233,1.359192212,0.098625224,0.97579199,0.114422338,1.22939971,0.0762104,0.109939373,0.109085475,0.249124755,1.353641875,1.342754675,1.386090001,1.38843822,0.151353428,1.158526172,1.374989326,1.195670737,1.309239177,1.331867475,0.117197507,0.254888566,0.11591666,1.258645718,0.077918197,0.000640424,0.10929895,0.22286739
102,1.503714456,1.394202032,1.372427632,1.378618393,0.168858338,1.067159081,1.348305012,1.256937922,1.2554436,1.369652463,0.138331483,1.094483819,0.121040048,1.217231663,0.080693365,0.128084707,0.107164205,0.248697805,1.391853813,1.417257279,1.341687303,1.335496542,0.16800444,1.122022031,1.399325421,1.138886517,0.323840833,1.355990095,0.099052173,1.023610281,0.114635812,1.227478439,0.076850824,0.108872001,0.110366322,0.252326872,1.363248228,1.340192981,1.382887883,1.386303475,0.155409444,1.19204167,1.361967381,1.202074972,1.310946973,1.336136965,0.118478354,0.269404833,0.116130134,1.262915208,0.078985569,0.001067373,0.10929895,0.222226966
105,1.487490394,1.398684997,1.377337546,1.378191444,0.172914354,1.102382376,1.347024165,1.250960635,1.267184698,1.371787209,0.142174024,1.11583127,0.121040048,1.216591239,0.083255059,0.129152079,0.108658526,0.2512595,1.388224746,1.41256084,1.343608573,1.336990863,0.172487405,1.136751772,1.391213389,1.13760567,0.355221587,1.344035522,0.098838699,1.074844164,0.114849287,1.223422423,0.078772095,0.110793271,0.111433695,0.254034668,1.352361028,1.346597216,1.38843822,1.382887883,0.15946546,1.221287678,1.372214158,1.208052259,1.308171804,1.342114252,0.121040048,0.289044488,0.114635812,1.2554436,0.080266416,0.000853898,0.110793271,0.225002135
108,1.493254205,1.401246691,1.365169499,1.372427632,0.178251217,1.12671847,1.343822048,1.251387584,1.277644949,1.372214158,0.145803091,1.14614465,0.12210742,1.215310392,0.084535906,0.12872513,0.109512424,0.253607719,1.384382205,1.415762958,1.339339083,1.329305781,0.175902997,1.146785074,1.386730424,1.145290752,0.391298779,1.351934079,0.100546495,1.106651866,0.115489711,1.224916745,0.080479891,0.110579797,0.111860644,0.258090684,1.353214926,1.350653232,1.377977969,1.38843822,0.16373495,1.231961404,1.364956024,1.21381607,1.309666126,1.335710016,0.123815216,0.305908974,0.116130134,1.252454957,0.082187687,0.000640424,0.111433695,0.226496456
111,1.490479037,1.397190675,1.356843993,1.368158142,0.182734182,1.162368713,1.351720605,1.265049953,1.287251302,1.363675177,0.149645632,1.165784305,0.121040048,1.214243019,0.085816753,0.129365554,0.109512424,0.257663735,1.387797797,1.420459397,1.324395867,1.325676714,0.180812911,1.159807019,1.38843822,1.139099991,0.425241226,1.348091538,0.100973444,1.113909999,0.116770558,1.223208949,0.081547263,0.11122022,0.112074118,0.259158057,1.354068824,1.345956793,1.388224746,1.385449577,0.167364017,1.250106737,1.37136026,1.21616429,1.297284604,1.333575271,0.125949962,0.3274699,0.116557083,1.252668431,0.083468534,0.001067373,0.111860644,0.225856033
114,1.4849287,1.400179319,1.355563146,1.373708479,0.18785757,1.172188541,1.347024165,1.262915208,1.292801639,1.368371616,0.154342072,1.178806251,0.122961318,1.222995474,0.088805397,0.130005977,0.109512424,0.260865853,1.379258816,1.417684229,1.32973273,1.323755444,0.185936299,1.167278627,1.392280762,1.154470156,0.458116301,1.352147554,0.101613867,1.139099991,0.116130134,1.224062847,0.084535906,0.111647169,0.112074118,0.260652378,1.359832636,1.349585859,1.381607036,1.380966613,0.17270088,1.258645718,1.364315601,1.222355051,1.3098796,1.321620698,0.127230809,0.348603877,0.116557083,1.252668431,0.084749381,0.000213475,0.111433695,0.227990778
117,1.492186833,1.411066519,1.366877295,1.361753907,0.19212706,1.183075741,1.353001452,1.271454188,1.294082487,1.370719836,0.157971138,1.188839553,0.124242165,1.22470327,0.090726667,0.131286824,0.109512424,0.263427547,1.385876526,1.430919648,1.33208095,1.323755444,0.188924942,1.176031082,1.38843822,1.155751003,0.492272223,1.353214926,0.103321663,1.162795662,0.116343609,1.231747929,0.086243703,0.111433695,0.112501067,0.264281445,1.355349671,1.344248997,1.380966613,1.382033985,0.179105115,1.263769106,1.365596448,1.224276321,1.311800871,1.331227051,0.129792503,0.372939971,0.117624456,1.253949278,0.086670652,0.000426949,0.111860644,0.228417727
120,1.485142174,1.396763726,1.363034754,1.368158142,0.195756127,1.200367176,1.346597216,1.267611647,1.287891726,1.368371616,0.163094527,1.198872855,0.124028691,1.220220306,0.092220989,0.131927248,0.110579797,0.269618308,1.382033985,1.426863632,1.339979506,1.321834173,0.191913586,1.178592776,1.38651695,1.155537529,0.519810435,1.345956793,0.102894714,1.166638203,0.116984032,1.231534455,0.088591922,0.111647169,0.112928016,0.268550935,1.348305012,1.344462471,1.382033985,1.378618393,0.18123986,1.2663308,1.36239433,1.229613184,1.307531381,1.332721373,0.132781146,0.399197336,0.116984032,1.250960635,0.088805397,0.000640424,0.112074118,0.228417727
