time_min,gRNA1_replicate1_20fM,gRNA2_replicate1_20fM,gRNA3_replicate1_20fM,gRNA4_replicate1_20fM,gRNA5_replicate1_20fM,gRNA6_replicate1_20fM,gRNA1_replicate1_2fM,gRNA2_replicate1_2fM,gRNA3_replicate1_2fM,gRNA4_replicate1_2fM,gRNA5_replicate1_2fM,gRNA6_replicate1_2fM,gRNA1_replicate1_0fM,gRNA2_replicate1_0fM,gRNA3_replicate1_0fM,gRNA4_replicate1_0fM,gRNA5_replicate1_0fM,gRNA6_replicate1_0fM,gRNA1_replicate2_20fM,gRNA2_replicate2_20fM,gRNA3_replicate2_20fM,gRNA4_replicate2_20fM,gRNA5_replicate2_20fM,gRNA6_replicate2_20fM,gRNA1_replicate2_2fM,gRNA2_replicate2_2fM,gRNA3_replicate2_2fM,gRNA4_replicate2_2fM,gRNA5_replicate2_2fM,gRNA6_replicate2_2fM,gRNA1_replicate2_0fM,gRNA2_replicate2_0fM,gRNA3_replicate2_0fM,gRNA4_replicate2_0fM,gRNA5_replicate2_0fM,gRNA6_replicate2_0fM,gRNA1_replicate3_20fM,gRNA2_replicate3_20fM,gRNA3_replicate3_20fM,gRNA4_replicate3_20fM,gRNA5_replicate3_20fM,gRNA6_replicate3_20fM,gRNA1_replicate3_2fM,gRNA2_replicate3_2fM,gRNA3_replicate3_2fM,gRNA4_replicate3_2fM,gRNA5_replicate3_2fM,gRNA6_replicate3_2fM,gRNA1_replicate3_0fM,gRNA2_replicate3_0fM,gRNA3_replicate3_0fM,gRNA4_replicate3_0fM,gRNA5_replicate3_0fM,gRNA6_replicate3_0fM
30,0.104175561,1.070574673,0.069379216,0.073221757,0.077491248,0.172914354,0.089659295,0.863077449,0.068525318,0.072154385,0.073862181,0.149432158,0.108445052,1.125651097,0.066604047,0.116343609,0.078772095,0.177397319,0.098625224,1.08936043,0.068098369,0.070233114,0.075996926,0.173127829,0.093501836,0.869908633,0.066604047,0.071727436,0.071513961,0.147297413,0.102894714,1.129066689,0.063615404,0.099692597,0.082614636,0.181026385,0.096917428,1.030868414,0.070660063,0.072367859,0.077491248,0.180599436,0.093288361,0.869481684,0.066817522,0.070446589,0.074929553,0.149859107,0.103321663,1.152548886,0.066177098,0.000853898,0.081974212,0.17035266
33,0.103748612,1.113696525,0.070446589,0.073435232,0.079199044,0.182307233,0.090513193,0.892109982,0.069165742,0.072581334,0.075783451,0.160105883,0.108658526,1.142942533,0.06767142,0.116343609,0.081974212,0.187003672,0.099052173,1.135043976,0.068952267,0.069806165,0.078985569,0.182734182,0.093928785,0.911536163,0.067244471,0.071727436,0.073221757,0.158611562,0.103108189,1.155751003,0.064042353,0.100759969,0.083682008,0.190632738,0.097130903,1.070147724,0.071300487,0.073862181,0.079412518,0.192340535,0.093501836,0.907266672,0.066177098,0.070446589,0.07663735,0.158398087,0.105029459,1.177952352,0.065750149,0.001067373,0.083895483,0.176756895
36,0.106096832,1.135684399,0.070873538,0.072794808,0.081120314,0.192554009,0.09179404,0.934804884,0.068738793,0.072794808,0.079199044,0.16608317,0.110793271,1.160233968,0.068738793,0.117197507,0.083895483,0.193834856,0.100119546,1.16364956,0.068952267,0.071087012,0.080693365,0.191273162,0.095850056,0.94547861,0.06767142,0.072794808,0.074502604,0.165656221,0.104815985,1.173255913,0.064896251,0.100973444,0.087951499,0.198317821,0.097984801,1.098539834,0.07194091,0.073221757,0.081333789,0.201306464,0.09371531,0.94739988,0.067030996,0.071300487,0.078345146,0.165442746,0.105669883,1.199940227,0.066817522,0.000853898,0.086670652,0.183801554
39,0.10695073,1.153402784,0.070873538,0.074502604,0.083895483,0.197890872,0.091580565,0.963623943,0.069592691,0.074075655,0.080479891,0.172914354,0.110793271,1.170694219,0.068738793,0.118478354,0.087097601,0.200025617,0.099692597,1.177311929,0.069379216,0.071513961,0.083041585,0.201306464,0.096917428,0.978353685,0.068525318,0.073008283,0.078131671,0.170566134,0.10460251,1.185637435,0.064255828,0.100546495,0.089018871,0.204295107,0.099692597,1.120314234,0.07194091,0.073648706,0.083255059,0.208137648,0.095209632,0.976005465,0.067884895,0.07194091,0.08090684,0.171420032,0.106523781,1.201221074,0.067884895,0.000426949,0.088378448,0.191059687
42,0.108231577,1.178165827,0.073648706,0.077491248,0.08517633,0.203441209,0.093288361,0.98475792,0.069806165,0.074075655,0.08282811,0.176543421,0.111860644,1.171761592,0.069592691,0.118478354,0.088378448,0.204508582,0.103748612,1.205917513,0.070873538,0.073648706,0.086030228,0.20728375,0.097344377,0.999701136,0.068311844,0.072154385,0.080052942,0.175689523,0.106096832,1.187345231,0.064255828,0.102467765,0.092007514,0.209845444,0.100759969,1.134190078,0.073648706,0.0762104,0.084749381,0.217317052,0.095423106,1.003970626,0.069592691,0.071727436,0.081760738,0.173768252,0.106310307,1.217018188,0.067457946,0.001067373,0.090940142,0.196823499
45,0.111006746,1.199513278,0.081547263,0.090940142,0.087097601,0.208564597,0.095209632,1.008667065,0.070873538,0.075569977,0.084749381,0.181453334,0.111860644,1.182435317,0.069379216,0.119332252,0.090513193,0.208351123,0.109939373,1.219366408,0.075569977,0.08090684,0.087311075,0.211339766,0.101613867,1.018273418,0.069379216,0.073435232,0.081333789,0.178678166,0.106096832,1.196524635,0.065109726,0.102040816,0.092861412,0.213687986,0.105669883,1.152121937,0.07663735,0.08752455,0.087951499,0.218384425,0.097130903,1.019554265,0.073648706,0.072581334,0.084962855,0.178037742,0.107377679,1.223849372,0.068098369,0.000426949,0.092220989,0.199812142
48,0.119118777,1.201861498,0.115703185,0.154555546,0.090086244,0.212193664,0.09841175,1.017632995,0.07194091,0.083255059,0.086243703,0.182520707,0.112074118,1.191828196,0.069806165,0.119332252,0.092647938,0.211553241,0.133635044,1.233242251,0.095423106,0.119545726,0.089018871,0.212834088,0.109939373,1.034710956,0.069165742,0.073435232,0.083041585,0.18123986,0.10695073,1.203142345,0.0653232,0.102467765,0.095209632,0.217103578,0.119118777,1.163863035,0.095209632,0.130005977,0.08944582,0.22286739,0.099265648,1.036632226,0.091580565,0.073862181,0.085603279,0.181880283,0.107377679,1.231107506,0.068311844,0.000640424,0.094782683,0.202800786
51,0.147937836,1.221074204,0.2403723,0.409017163,0.092220989,0.214755358,0.111860644,1.043676885,0.075783451,0.11591666,0.088591922,0.185936299,0.112287593,1.201221074,0.070873538,0.12018615,0.093501836,0.21624968,0.21198019,1.247971992,0.169712236,0.278157288,0.090940142,0.217103578,0.138331483,1.045598156,0.070446589,0.077277773,0.084322432,0.184441978,0.107591154,1.211254376,0.065963624,0.10268124,0.096917428,0.219665272,0.17270088,1.182008368,0.168644864,0.307403296,0.091367091,0.225215609,0.105883358,1.057125779,0.16373495,0.081120314,0.087311075,0.183801554,0.108231577,1.241354282,0.068738793,0.000853898,0.09606353,0.205789429
54,0.239091452,1.239006063,0.56122449,1.005678422,0.094355734,0.217103578,0.147937836,1.054991034,0.088378448,0.248270856,0.090086244,0.18785757,0.114208863,1.203782768,0.070873538,0.12018615,0.095636581,0.216036205,0.437195799,1.259926565,0.393433524,0.734992742,0.095850056,0.222653915,0.207497225,1.058406626,0.071087012,0.093288361,0.085603279,0.187003672,0.107804628,1.209119631,0.067030996,0.103535138,0.098625224,0.221586543,0.333660661,1.190760823,0.397062591,0.803731534,0.092861412,0.228631201,0.130859875,1.067799505,0.364400991,0.11122022,0.089018871,0.184655452,0.108231577,1.239646486,0.069165742,0.000640424,0.097130903,0.206429852
57,0.488856631,1.256724447,1.018700367,1.377764495,0.100119546,0.219878746,0.235889335,1.076978909,0.127017334,0.584493212,0.091580565,0.190205789,0.114635812,1.200580651,0.072367859,0.12210742,0.096703954,0.219878746,0.895098625,1.281914439,0.805439331,1.245410298,0.101400393,0.227990778,0.348603877,1.060327897,0.073008283,0.143668346,0.087311075,0.188497993,0.108018103,1.20954658,0.067244471,0.104389036,0.099265648,0.223934762,0.709589275,1.202288447,0.829775425,1.322901546,0.095423106,0.232900692,0.199171719,1.078046281,0.693578687,0.204722056,0.090513193,0.188497993,0.109725899,1.245623773,0.070660063,0.000640424,0.099906071,0.210699342
